60,Chrno Crusade,7.66,"Action; Demons; Historical; Romance; Shounen; Supernatural",Chrono Crusade,TV,24,"Nov 25; 2003 to Jun 10; 2004",Fall 2003,"Lantis; Kadokawa Shoten; Fuji TV","ADV Films; Funimation",Gonzo,Manga,23 min. per ep.,R - 17+ (violence & profanity),1120.0,742,198007,2064,8228,117484,9881,9842,52572,11469.0,16051.0,25109.0,23075.0,11012.0,5331.0,1919.0,652.0,280.0,256.0
61,D.N.Angel,7.2,"Action; Comedy; Magic; Romance; Fantasy; School; Shoujo",D.N.Angel,TV,26,"Apr 3; 2003 to Sep 25; 2003",Spring 2003,Kadokawa Shoten,"ADV Films; Discotek Media",Xebec,Manga,23 min. per ep.,PG-13 - Teens 13 or older,2761.0,891,167615,1523,5183,117045,7599,11057,26731,7515.0,11105.0,19858.0,25101.0,15032.0,8167.0,3203.0,1092.0,595.0,378.0
62,D.C.: Da Capo,6.77,"Harem; Drama; Magic; Romance",D.C.~Da Capo~,TV,26,"Jul 5; 2003 to Dec 27; 2003",Summer 2003,"Lantis; King Records",Unknown,"feel.; Zexcs",Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,4589.0,1852,67491,189,3024,36037,2840,3852,21738,1542.0,2446.0,5172.0,7807.0,5472.0,3340.0,1493.0,645.0,376.0,242.0
63,DearS,6.62,"Sci-Fi; Harem; Comedy; Romance; Ecchi; Shounen",DearS,TV,12,"Jul 11; 2004 to Sep 26; 2004",Summer 2004,"Bandai Visual; Hal Film Maker; Genco; Lantis","Discotek Media; Geneon Entertainment USA",Daume,Manga,23 min. per ep.,R+ - Mild Nudity,5274.0,1146,128788,391,3766,95113,3066,5507,21336,3464.0,5632.0,11499.0,19352.0,14791.0,8839.0,4070.0,1863.0,1029.0,730.0
64,Rozen Maiden,7.44,"Action; Comedy; Drama; Magic; Seinen",Rozen Maiden,TV,12,"Oct 8; 2004 to Dec 24; 2004",Fall 2004,"Mellow Head; Pony Canyon; TBS; Memory-Tech; Studio Jack","Sentai Filmworks; Geneon Entertainment USA",Nomad,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1782.0,846,176775,2074,5599,113914,6040,7852,43370,7868.0,12729.0,23021.0,23961.0,11535.0,5531.0,2028.0,737.0,387.0,292.0
65,Rozen Maiden: Träumend,7.65,"Action; Comedy; Drama; Magic; Seinen",Rozen Maiden:Träumend,TV,12,"Oct 21; 2005 to Jan 27; 2006",Fall 2005,"Mellow Head; TBS","Sentai Filmworks; Geneon Entertainment USA",Nomad,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1146.0,1479,93768,516,2006,73523,2114,1647,14478,5500.0,9205.0,15835.0,14172.0,5733.0,2345.0,760.0,255.0,95.0,97.0
66,Azumanga Daioh,7.98,"Slice of Life; Comedy; School",Azumanga Daioh:The Animation,TV,26,"Apr 9; 2002 to Oct 1; 2002",Spring 2002,"Genco; Lantis; Imagica; TV Tokyo Music; Cosmic Ray; King Records","ADV Films; Sentai Filmworks",J.C.Staff,4-koma manga,24 min. per ep.,PG-13 - Teens 13 or older,555.0,554,262980,5181,13747,143431,16133,13115,76554,18422.0,27283.0,35693.0,25478.0,10326.0,5162.0,1797.0,707.0,406.0,412.0
67,Basilisk: Kouga Ninpou Chou,7.58,"Action; Adventure; Historical; Supernatural; Romance; Samurai; Fantasy",Basilisk,TV,24,"Apr 13; 2005 to Sep 21; 2005",Spring 2005,"GDH; Kodansha; Sotsu Music Publishing",Funimation,Gonzo,Manga,24 min. per ep.,R - 17+ (violence & profanity),1325.0,940,156661,1467,6964,82153,6380,6957,54207,6677.0,11140.0,19570.0,17421.0,7816.0,3800.0,1554.0,643.0,316.0,244.0
68,Black Cat (TV),7.38,"Sci-Fi; Adventure; Comedy; Super Power; Shounen",Black Cat,TV,23,"Oct 7; 2005 to Mar 31; 2006",Fall 2005,"GDH; Dentsu; TBS; Sotsu Music Publishing",Funimation,Gonzo,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1965.0,622,231668,1955,10510,142921,11736,11003,55498,8654.0,15253.0,29392.0,34019.0,16081.0,7534.0,2521.0,863.0,395.0,234.0
69,Cluster Edge,6.35,"Action; Fantasy; Military; Sci-Fi",Unknown,TV,25,"Oct 5; 2005 to Mar 29; 2006",Fall 2005,"Bandai Visual; Imagine",Sentai Filmworks,Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,6646.0,5061,9299,13,500,3068,629,942,4160,113.0,162.0,372.0,652.0,627.0,412.0,261.0,108.0,62.0,31.0
71,Full Metal Panic!,7.65,"Action; Military; Sci-Fi; Comedy; Mecha",Full Metal Panic!,TV,24,"Jan 8; 2002 to Jun 18; 2002",Winter 2002,Kadokawa Shoten,"ADV Films; Funimation",Gonzo,Light novel,24 min. per ep.,R - 17+ (violence & profanity),1146.0,322,411230,4417,17458,264665,16076,13806,99225,17675.0,36500.0,64969.0,56993.0,21492.0,9171.0,3035.0,991.0,448.0,329.0
72,Full Metal Panic? Fumoffu,08.07,"Action; Comedy; School",Full Metal Panic? Fumoffu,TV,12,"Aug 26; 2003 to Oct 18; 2003",Summer 2003,"Tatsunoko Production; Kadokawa Shoten; Fuji TV; Imagica; Rakuonsha; Kadokawa Pictures Japan; KlockWorx; Happinet Pictures; Animation Do","ADV Films; Funimation",Kyoto Animation,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,452.0,571,254465,2988,5383,204041,4435,3533,37073,24023.0,37507.0,45884.0,30305.0,11085.0,4417.0,1332.0,442.0,194.0,164.0
73,Full Metal Panic! The Second Raid,7.96,"Action; Military; Mecha",Full Metal Panic! The Second Raid,TV,13,"Jul 14; 2005 to Oct 20; 2005",Summer 2005,"Kadokawa Shoten; Happinet Pictures","ADV Films; Funimation; Kadokawa Pictures USA",Kyoto Animation,Light novel,24 min. per ep.,R - 17+ (violence & profanity),579.0,639,227927,1358,4667,177524,3840,2271,39625,14139.0,30146.0,45246.0,29917.0,9377.0,3127.0,816.0,235.0,115.0,129.0
74,Gakuen Alice,7.65,"Comedy; School; Shoujo; Super Power",Gakuen Alice,TV,26,"Oct 30; 2004 to May 14; 2005",Fall 2004,"Aniplex; Sogo Vision",Nozomi Entertainment,Group TAC,Manga,25 min. per ep.,G - All Ages,1158.0,1640,81446,1613,2495,57369,2843,2916,15823,5560.0,7151.0,11074.0,11158.0,5331.0,2357.0,618.0,214.0,115.0,104.0
75,Soukyuu no Fafner: Dead Aggressor,7.3,"Action; Drama; Mecha; Military; Sci-Fi",Fafner of the Blue Sky,TV,25,"Jul 5; 2004 to Dec 27; 2004",Summer 2004,"TV Tokyo Music; King Records","Funimation; Geneon Entertainment USA",Xebec,Original,24 min. per ep.,PG-13 - Teens 13 or older,2348.0,2523,40602,255,2179,16417,1849,1987,18170,926.0,1667.0,3344.0,3838.0,1827.0,955.0,424.0,184.0,94.0,71.0
76,Mahou Shoujo Lyrical Nanoha,7.42,"Action; Comedy; Drama; Magic; Super Power",Magical Girl Lyrical Nanoha,TV,13,"Oct 3; 2004 to Dec 26; 2004",Fall 2004,"Starchild Records; Omnibus Japan",Geneon Entertainment USA,Seven Arcs,Original,25 min. per ep.,PG-13 - Teens 13 or older,1828.0,1550,88890,1036,3287,47731,2865,2625,32382,3193.0,5032.0,9945.0,10737.0,4999.0,2363.0,736.0,276.0,140.0,112.0
77,Mahou Shoujo Lyrical Nanoha A's,7.99,"Action; Comedy; Drama; Magic; Super Power",Magical Girl Lyrical Nanoha A's,TV,13,"Oct 2; 2005 to Dec 25; 2005",Fall 2005,"Starchild Records; Omnibus Japan",Geneon Entertainment USA,Seven Arcs,Original,25 min. per ep.,PG-13 - Teens 13 or older,551.0,2075,56981,1014,1367,40165,1088,828,13533,4189.0,6809.0,9368.0,6267.0,2220.0,864.0,250.0,83.0,53.0,71.0
79,Shuffle!,07.09,"Harem; Comedy; Drama; Magic; Romance; Ecchi; Fantasy; School; Seinen",Shuffle!,TV,24,"Jul 8; 2005 to Jan 6; 2006",Summer 2005,"Xebec; Lantis; Memory-Tech",Funimation,Asread,Visual novel,23 min. per ep.,R+ - Mild Nudity,3231.0,600,240751,1572,10943,151944,9558,13227,55079,8852.0,14660.0,26443.0,32343.0,18951.0,10530.0,5019.0,2184.0,1323.0,1088.0
80,Mobile Suit Gundam,7.78,"Action; Military; Sci-Fi; Space; Mecha",Mobile Suit Gundam,TV,43,"Apr 7; 1979 to Jan 26; 1980",Spring 1979,"Sotsu; Nagoya Broadcasting Network","Nozomi Entertainment; Bandai Entertainment",Sunrise,Original,25 min. per ep.,PG-13 - Teens 13 or older,867.0,1427,97216,1787,7737,52669,5473,3100,28237,5395.0,7488.0,12922.0,11417.0,4169.0,1598.0,505.0,179.0,59.0,104.0
81,Mobile Suit Gundam: The 08th MS Team,08.03,"Adventure; Drama; Mecha; Military; Romance; Sci-Fi",Mobile Suit Gundam:The 08th MS Team,OVA,12,"Jan 25; 1996 to Jul 25; 1999",Unknown,Atelier Musa,Bandai Entertainment,Sunrise,Original,25 min. per ep.,PG-13 - Teens 13 or older,511.0,1948,62655,911,2405,43537,1437,794,14482,4241.0,8768.0,11589.0,6745.0,2121.0,819.0,262.0,87.0,38.0,50.0
